"ISO","year","mean_value","median_value","sd_value","min_value","max_value","count"
"ETH",2001,48183,48183,NA,48183,48183,1
"ETH",2000,30000,30000,NA,30000,30000,1
"ERI",2000,15000,15000,NA,15000,15000,1
"SYR",2014,14162,14162,NA,14162,14162,1
"SYR",2015,13953,13953,NA,13953,13953,1
"SYR",2016,10776,10776,NA,10776,10776,1
"SYR",2017,10593,10593,NA,10593,10593,1
"SYR",2013,8669,8669,NA,8669,8669,1
"IRQ",2004,6573,6573,NA,6573,6573,1
"USA",2002,2753,2753,NA,2753,2753,1
"RUS",2000,2521,2521,NA,2521,2521,1
"NGA",2000,2478,2478,NA,2478,2478,1
"BRA",2019,1906,1906,NA,1906,1906,1
"AFG",2015,1899,1899,NA,1899,1899,1
"SDN",2005,1715,1715,NA,1715,1715,1
"IRQ",2007,1700,1700,NA,1700,1700,1
"RWA",2002,1684,1684,NA,1684,1684,1
"MEX",2010,1636,1636,NA,1636,1636,1
"AFG",2016,1576,1576,NA,1576,1576,1
"BRA",2018,1566,1566,NA,1566,1566,1
"IRQ",2015,1500,1500,NA,1500,1500,1
"PAK",2010,1428,1428,NA,1428,1428,1
"MEX",2009,1286,1286,NA,1286,1286,1
"COD",2003,1200,1200,NA,1200,1200,1
"MEX",2019,1162,1162,NA,1162,1162,1
"ERI",2001,1000,1000,NA,1000,1000,1
"LKA",2010,1000,1000,NA,1000,1000,1
"SYR",2018,986,986,NA,986,986,1
"IRQ",2005,966,966,NA,966,966,1
"NGA",2002,952,952,NA,952,952,1
"MEX",2012,895,895,NA,895,895,1
"SLE",2000,861,861,NA,861,861,1
"AFG",2001,832,832,NA,832,832,1
"LBR",2004,809,809,NA,809,809,1
"CAF",2014,800,800,NA,800,800,1
"LBR",2003,800,800,NA,800,800,1
"COD",2018,765,765,NA,765,765,1
"MMR",2018,750,750,NA,750,750,1
"PAK",2011,728,728,NA,728,728,1
"SDN",2004,717,717,NA,717,717,1
"MEX",2016,713,713,NA,713,713,1
"NGA",2005,660,660,NA,660,660,1
"AFG",2000,650,650,NA,650,650,1
"NGA",2015,649,649,NA,649,649,1
"SDN",2002,630,630,NA,630,630,1
"COD",2014,614,614,NA,614,614,1
"SYR",2019,600,600,NA,600,600,1
"AGO",2001,593,593,NA,593,593,1
"SOM",2018,587,587,NA,587,587,1
"AFG",2019,576,576,NA,576,576,1
"IRQ",2018,557,557,NA,557,557,1
"SRB",2000,551,551,NA,551,551,1
"TCD",2009,540,540,NA,540,540,1
"SDN",2001,534,534,NA,534,534,1
"COD",2000,524,524,NA,524,524,1
"IRQ",2008,520,520,NA,520,520,1
"RUS",2001,518,518,NA,518,518,1
"IND",2002,500,500,NA,500,500,1
"SDN",2003,500,500,NA,500,500,1
"SDN",2007,500,500,NA,500,500,1
"SDN",2012,500,500,NA,500,500,1
"MEX",2018,498,498,NA,498,498,1
"IRQ",2017,494,494,NA,494,494,1
"MEX",2015,484,484,NA,484,484,1
"COD",2010,473,473,NA,473,473,1
"COD",2015,472,472,NA,472,472,1
"SSD",2015,470,470,NA,470,470,1
"MEX",2013,466,466,NA,466,466,1
"IND",2001,450,450,NA,450,450,1
"NGA",2001,450,450,NA,450,450,1
"AFG",2002,441,441,NA,441,441,1
"SDN",2010,433,433,NA,433,433,1
"UKR",2015,431,431,NA,431,431,1
"ETH",2004,424,424,NA,424,424,1
"COD",2002,420,420,NA,420,420,1
"AGO",2000,401,401,NA,401,401,1
"COD",2001,400,400,NA,400,400,1
"ETH",2010,400,400,NA,400,400,1
"SSD",2014,385,385,NA,385,385,1
"GEO",2009,373,373,NA,373,373,1
"NGA",2016,354,354,NA,354,354,1
"IRQ",2016,350,350,NA,350,350,1
"COD",2019,348,348,NA,348,348,1
"COD",2004,345,345,NA,345,345,1
"GIN",2002,345,345,NA,345,345,1
"RUS",2005,338,338,NA,338,338,1
"UGA",2005,337,337,NA,337,337,1
"LBY",2012,336,336,NA,336,336,1
"LKA",2001,330,330,NA,330,330,1
"MEX",2017,329,329,NA,329,329,1
"MEX",2007,327,327,NA,327,327,1
"CMR",2016,324,324,NA,324,324,1
"EGY",2018,311,311,NA,311,311,1
"BDI",2004,300,300,NA,300,300,1
"COD",2009,300,300,NA,300,300,1
"NGA",2017,300,300,NA,300,300,1
"SLE",2001,300,300,NA,300,300,1
"AFG",2014,297,297,NA,297,297,1
"TCD",2007,291,291,NA,291,291,1
"LKA",2002,288,288,NA,288,288,1
"COL",2000,280,280,NA,280,280,1
"SSD",2017,271,271,NA,271,271,1
"LBY",2017,266,266,NA,266,266,1
"CIV",2003,262,262,NA,262,262,1
"LKA",2007,260,260,NA,260,260,1
"BRA",2013,259,259,NA,259,259,1
"SSD",2012,257,257,NA,257,257,1
"SDN",2006,251,251,NA,251,251,1
"NPL",2003,246,246,NA,246,246,1
"AFG",2013,244,244,NA,244,244,1
"IND",2000,244,244,NA,244,244,1
"COD",2013,240,240,NA,240,240,1
"COL",2003,240,240,NA,240,240,1
"TCD",2001,240,240,NA,240,240,1
"MEX",2011,239,239,NA,239,239,1
"SOM",2008,238,238,NA,238,238,1
"TCD",2000,237,237,NA,237,237,1
"SOM",2017,227,227,NA,227,227,1
"EGY",2016,224,224,NA,224,224,1
"ETH",2013,223,223,NA,223,223,1
"SDN",2015,223,223,NA,223,223,1
"LKA",2000,221,221,NA,221,221,1
"YEM",2013,217,217,NA,217,217,1
"SDN",2016,215,215,NA,215,215,1
"BDI",2001,206,206,NA,206,206,1
"PHL",2010,205,205,NA,205,205,1
"NGA",2010,203,203,NA,203,203,1
"IDN",2003,202,202,NA,202,202,1
"SDN",2000,202,202,NA,202,202,1
"NGA",2013,201,201,NA,201,201,1
"AFG",2003,200,200,NA,200,200,1
"AGO",2002,200,200,NA,200,200,1
"COD",2005,200,200,NA,200,200,1
"COG",2000,200,200,NA,200,200,1
"ETH",2019,200,200,NA,200,200,1
"LBR",2002,200,200,NA,200,200,1
"NGA",2009,200,200,NA,200,200,1
"NGA",2018,200,200,NA,200,200,1
"SDN",2009,200,200,NA,200,200,1
"SDN",2017,200,200,NA,200,200,1
"UGA",2000,200,200,NA,200,200,1
"CAF",2015,198,198,NA,198,198,1
"ZWE",2009,197,197,NA,197,197,1
"ESP",2005,191,191,NA,191,191,1
"AFG",2009,189,189,NA,189,189,1
"NPL",2005,187,187,NA,187,187,1
"CHN",2010,185,185,NA,185,185,1
"LBN",2018,184,184,NA,184,184,1
"NGA",2014,183,183,NA,183,183,1
"IND",2007,182,182,NA,182,182,1
"PHL",2001,180,180,NA,180,180,1
"YEM",2019,180,180,NA,180,180,1
"COD",2017,177,177,NA,177,177,1
"UKR",2016,177,177,NA,177,177,1
"NGA",2003,175,175,NA,175,175,1
"NGA",2011,174,174,NA,174,174,1
"BDI",2003,173,173,NA,173,173,1
"MMR",2013,173,173,NA,173,173,1
"SSD",2018,172,172,NA,172,172,1
"COD",2008,171,171,NA,171,171,1
"COL",2005,171,171,NA,171,171,1
"AFG",2010,170,170,NA,170,170,1
"ETH",2003,170,170,NA,170,170,1
"PHL",2004,170,170,NA,170,170,1
"BDI",2005,166,166,NA,166,166,1
"TUR",2017,164,164,NA,164,164,1
"SDN",2014,163,163,NA,163,163,1
"CAF",2002,162,162,NA,162,162,1
"AFG",2017,158,158,NA,158,158,1
"AFG",2011,157,157,NA,157,157,1
"GIN",2010,157,157,NA,157,157,1
"RUS",2003,155,155,NA,155,155,1
"AFG",2018,153,153,NA,153,153,1
"IRQ",2010,153,153,NA,153,153,1
"BDI",2002,152,152,NA,152,152,1
"KEN",2016,152,152,NA,152,152,1
"CIV",2012,151,151,NA,151,151,1
"IRQ",2000,151,151,NA,151,151,1
"COL",2002,150,150,NA,150,150,1
"IDN",2000,150,150,NA,150,150,1
"SDN",2013,150,150,NA,150,150,1
"PAK",2019,149,149,NA,149,149,1
"LKA",2009,147,147,NA,147,147,1
"PAK",2015,146,146,NA,146,146,1
"YEM",2016,146,146,NA,146,146,1
"SSD",2016,144,144,NA,144,144,1
"IND",2011,141,141,NA,141,141,1
"IRQ",2006,141,141,NA,141,141,1
"LBY",2018,141,141,NA,141,141,1
"RUS",2006,141,141,NA,141,141,1
"SDN",2011,140,140,NA,140,140,1
"YEM",2017,140,140,NA,140,140,1
"AFG",2012,138,138,NA,138,138,1
"CAF",2018,137,137,NA,137,137,1
"COD",2007,135,135,NA,135,135,1
"KEN",2001,135,135,NA,135,135,1
"CIV",2005,130,130,NA,130,130,1
"FRA",2016,130,130,NA,130,130,1
"CMR",2019,129,129,NA,129,129,1
"SSD",2019,128,128,NA,128,128,1
"SOM",2007,127,127,NA,127,127,1
"SSD",2013,127,127,NA,127,127,1
"NGA",2012,126,126,NA,126,126,1
"TCD",2002,126,126,NA,126,126,1
"IRQ",2012,125,125,NA,125,125,1
"SDN",2008,125,125,NA,125,125,1
"TCD",2003,125,125,NA,125,125,1
"IRQ",2011,121,121,NA,121,121,1
"SYR",2012,121,121,NA,121,121,1
"ETH",2011,120,120,NA,120,120,1
"YEM",2015,120,120,NA,120,120,1
"IDN",2002,118,118,NA,118,118,1
"MEX",2008,118,118,NA,118,118,1
"CAF",2017,117,117,NA,117,117,1
"CMR",2015,117,117,NA,117,117,1
"GIN",2001,116,116,NA,116,116,1
"PHL",2005,116,116,NA,116,116,1
"IDN",2001,114,114,NA,114,114,1
"CAF",2019,112,112,NA,112,112,1
